BuildingType,PrimaryPropertyType,YearBuilt,NumberofFloors,PropertyGFATotal,NumberofBuildings,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kWh),NaturalGas(therms),TotalGHGEmissions,ENERGYSTARScore
NonResidential,Warehouse,2004,4,87332,1.0,13.30000019,1165598.875,301186.5938,1379.500122,14.49,87.0
NonResidential,Hotel,2003,6,150545,1.0,133.3999939,13410041.0,1641705.0,78085.42969,453.76,28.0
NonResidential,Other,1999,5,141718,1.0,136.3000031,19085174.0,4271148.5,45120.13672,341.23,52.125
NonResidential,Hotel,2008,5,111856,1.0,98.40000153,9444484.0,1414198.875,46192.36328,278.97,8.0
NonResidential,Warehouse,1988,4,132828,1.0,8.199999809,1083729.625,317622.9063,0.0,7.56,83.0
NonResidential,Warehouse,1970,1,70400,1.0,198.3000031,13962749.0,2906502.75,40457.60938,284.01,1.0
NonResidential,Retail Store,1995,1,101830,1.0,81.90000153,10713006.0,1739556.0,47776.39844,295.12,60.0
SPS-District K-12,K-12 School,1988,3,55353,1.0,0.0,0.0,420163.0938,0.0,9.99,91.125
NonResidential,University,1974,4,114000,2.0,66.40000153,7575080.0,1858679.75,12332.63867,109.71,78.625
SPS-District K-12,Other,2002,3,338063,1.0,61.20000076,20675922.0,5327046.5,25000.35352,259.49,48.125
NonResidential,Warehouse,1965,1,152365,1.0,6.800000191,1069749.75,277903.5,1215.430054,13.07,88.0
NonResidential,Medical Office,1910,6,320946,1.0,78.90000153,25471308.0,7387187.5,2662.219971,189.85,57.0
NonResidential,Retail Store,1958,1,74178,1.0,72.80000305,5402181.0,966097.375,21058.56055,134.82,74.125
NonResidential,Warehouse,1987,4,80360,1.0,8.5,686019.1875,128083.0,2490.0,16.27,96.0
SPS-District K-12,K-12 School,1950,1,61183,1.0,38.5,2424724.25,211139.0,17043.17773,95.54,92.0
NonResidential,Supermarket / Grocery Store,1996,3,119190,1.0,217.8000031,10077532.0,1703812.0,42641.24219,267.0,71.0
NonResidential,Other,2008,2,51856,1.0,37.40000153,1938613.125,568174.875,0.0,13.51,50.625
NonResidential,Mixed Use Property,1921,3,66138,1.0,139.8000031,7070998.5,2072390.875,0.0,49.29,3.0
NonResidential,Large Office,1960,3,113944,1.0,273.2999878,17880184.0,5214438.5,885.1599121,128.73,1.0
Multifamily LR (1-4),Low-Rise Multifamily,1976,4,31334,1.0,23.0,722062.875,211624.5,0.0,5.03,88.0
Multifamily LR (1-4),Low-Rise Multifamily,2005,3,47658,1.0,24.5,1167967.125,342311.5,0.0,8.14,53.0
NonResidential,Low-Rise Multifamily,2000,3,93079,1.0,21.89999962,1997181.5,511195.5938,2529.819824,25.6,32.0
